bo3_id,players,winner,score,replay_urls,maps,total_duration_min,time_span_hours,description
Bo3_660,War101 vs dratini323,dratini323,3-0,"https://api.bar-rts.com/replays/12623368a8d13f3ea5ece0360f066d73,https://api.bar-rts.com/replays/586733683075b4eb13a5f03f9703fd38,https://api.bar-rts.com/replays/3f443a68b27bb0ec3b68afe947f46f66","Unknown, Unknown, Unknown",92,125.3,Bo3 660: War101 vs dratini323 - dratini323 wins 3-0 (92min)
Bo3_661,Clownshow_57 vs tntboy100,tntboy100,3-0,"https://api.bar-rts.com/replays/284a586815e213e265ddd652a8ce93dd,https://api.bar-rts.com/replays/f55a5868f2e0cdb0462b719184bc982d,https://api.bar-rts.com/replays/412d5a68890ba5fb536cc15d91a48872","Unknown, Unknown, Unknown",92,34.4,Bo3 661: Clownshow_57 vs tntboy100 - tntboy100 wins 3-0 (92min)
Bo3_662,Blaster911 vs theshivo09,theshivo09,3-0,"https://api.bar-rts.com/replays/ceab6568ab45e109681fa4c2178dc9f2,https://api.bar-rts.com/replays/82b665687252e8bbc5733611304baabc,https://api.bar-rts.com/replays/aabc65689fde786f54e9cae1fd355f4d","Unknown, Unknown, Unknown",92,1.2,Bo3 662: Blaster911 vs theshivo09 - theshivo09 wins 3-0 (92min)
Bo3_663,Emantella vs aceius,Emantella,3-0,"https://api.bar-rts.com/replays/28bc5568800690e7a44b2558363bcb80,https://api.bar-rts.com/replays/7ec355688d40162f69c40bfe4e87492e,https://api.bar-rts.com/replays/9fc95568edf2d5545d11d508708b00ab","Unknown, Unknown, Unknown",92,1.0,Bo3 663: Emantella vs aceius - Emantella wins 3-0 (92min)
Bo3_664,DirtiestDigger vs TheEmuWarOf1932,TheEmuWarOf1932,2-1,"https://api.bar-rts.com/replays/2a841a68361fb9193364091eb2a1a713,https://api.bar-rts.com/replays/00911a688762bb53930b434f29ba4f20,https://api.bar-rts.com/replays/c6a61b68e8af48cbc5aa241d59c945b3","Unknown, Unknown, Unknown",92,20.7,Bo3 664: DirtiestDigger vs TheEmuWarOf1932 - TheEmuWarOf1932 wins 2-1 (92min)
Bo3_665,galgtonold vs nezero,galgtonold,2-1,"https://api.bar-rts.com/replays/ddd1346870bf3339f955fbb0efded5f5,https://api.bar-rts.com/replays/dadb34684c96f0c0789b74a4a7837792,https://api.bar-rts.com/replays/f6ef34686ce3f77ecf0fdca5c4ff2e2b","Unknown, Unknown, Unknown",92,2.1,Bo3 665: galgtonold vs nezero - galgtonold wins 2-1 (92min)
Bo3_666,RoRuS vs xzIcenFirezx,xzIcenFirezx,3-0,"https://api.bar-rts.com/replays/a45d04680f55aa31ebdab476993fdd6a,https://api.bar-rts.com/replays/1b67046825114af2e725dde9f8c662c6,https://api.bar-rts.com/replays/757204686d9e6f322d8ec97e6a32969b","Unknown, Unknown, Unknown",92,1.5,Bo3 666: RoRuS vs xzIcenFirezx - xzIcenFirezx wins 3-0 (92min)
Bo3_667,Cataclan vs KCDQKIRI,Cataclan,3-0,"https://api.bar-rts.com/replays/83e0256806a4a494e523ca4b3dabf7e0,https://api.bar-rts.com/replays/c8e725681d9adf0164f4363957a2d0b4,https://api.bar-rts.com/replays/a70c2668549812fb7274b2e44a60e7fe","Unknown, Unknown, Unknown",91,3.1,Bo3 667: Cataclan vs KCDQKIRI - Cataclan wins 3-0 (91min)
Bo3_668,Legend1122 vs runforeal,runforeal,2-1,"https://api.bar-rts.com/replays/708c3a68a4924af1428af27f94f4aa96,https://api.bar-rts.com/replays/70973a688fd84ab4072acf11f1589026,https://api.bar-rts.com/replays/3ca03a68b0c991ddee7c6f1ee632053c","Unknown, Unknown, Unknown",91,1.4,Bo3 668: Legend1122 vs runforeal - runforeal wins 2-1 (91min)
Bo3_669,famzaza1000 vs weanxmean,weanxmean,2-1,"https://api.bar-rts.com/replays/89266d68d34cf662a16eebeae7739980,https://api.bar-rts.com/replays/61316d68dc804d5e1dcca63097ebcee3,https://api.bar-rts.com/replays/d2356d68b023701baaec6d3e40d38d38","Unknown, Unknown, Unknown",91,1.1,Bo3 669: famzaza1000 vs weanxmean - weanxmean wins 2-1 (91min)
Bo3_670,Doom_inic vs Syroos,Syroos,2-1,"https://api.bar-rts.com/replays/3bbc2b6863c9988195b2a1e27d7e5ce5,https://api.bar-rts.com/replays/8dc32b68b3a5725dbef5d7fd62629c7f,https://api.bar-rts.com/replays/f3a92e683a48470b9de40215b0128b72","Unknown, Unknown, Unknown",91,53.3,Bo3 670: Doom_inic vs Syroos - Syroos wins 2-1 (91min)
Bo3_671,korvin vs oryosef12,oryosef12,3-0,"https://api.bar-rts.com/replays/9a65536833170698bb846c73aedc8881,https://api.bar-rts.com/replays/676e536830ae4ebac7ae1293bb442ec6,https://api.bar-rts.com/replays/a17753685d56f7e936cf2f21f8d0bcf7","Unknown, Unknown, Unknown",91,1.3,Bo3 671: korvin vs oryosef12 - oryosef12 wins 3-0 (91min)
Bo3_672,korvin vs oryosef12,oryosef12,3-0,"https://api.bar-rts.com/replays/d1785868953a6ee03ef084563ca6bc1a,https://api.bar-rts.com/replays/0a805868f2e9dd4c32ad1d4707e68ce3,https://api.bar-rts.com/replays/b18658686523defb0f4e73e63047a5db","Unknown, Unknown, Unknown",91,1.0,Bo3 672: korvin vs oryosef12 - oryosef12 wins 3-0 (91min)
Bo3_673,Chingus vs Zabild,Chingus,3-0,"https://api.bar-rts.com/replays/124b056861bda891f8692e2a134a6eb1,https://api.bar-rts.com/replays/125005682c7d1314a425825749133bf0,https://api.bar-rts.com/replays/f85a0568935d4104cc45849905c93f01","Unknown, Unknown, Unknown",91,1.1,Bo3 673: Chingus vs Zabild - Chingus wins 3-0 (91min)
